Dataset Name,Link,Topic/Category,Description,Potential Use Cases,Region/Coverage,Time Span,Update Frequency,Data Format/Access,Source/Institution,Authors (if provided),id
Alpha Vantage,https://www.alphavantage.co/,Asset Pricing,"Provides free APIs for real-time and historical market data (stocks, forex, commodities, cryptocurrencies), plus over 50 technical indicators, supporting multiple data formats[1][2]. Ideal for retrieving financial time series for research and algorithmic trading.",Backtesting trading strategies; technical indicator analysis; market efficiency studies,Global (multiple markets),"Varies by asset (historical data for many assets, up to decades)",Real-time and daily data updates,API (JSON/CSV) and web downloads,Alpha Vantage (financial data provider),(N/A),1
AQR Data Sets,https://www.aqr.com/Insights/Datasets,Asset Pricing,"Collection of datasets from AQR Capital Management’s research publications, covering topics like factor investing, commodities, and alternative strategies[3]. Often includes factor returns and strategy data, enabling replication of academic studies in finance.","Analyzing factor premia (e.g. value, momentum); replicating quantitative strategies; portfolio construction",Global (varies by dataset),Varies (many series cover multiple decades),Periodic updates (aligned with research publications; often annual or quarterly),CSV/Excel downloads via website,AQR Capital Management,(N/A) – AQR research team,2
CoinMetrics,https://charts.coinmetrics.io/crypto-data/,Asset Pricing (Crypto),"Offers extensive cryptocurrency data including historical prices, market capitalizations, and on-chain metrics (e.g. blockchain network activity)[4]. Useful for analyzing the rapidly evolving cryptocurrency markets and their financial implications[4].",Cryptocurrency market analysis; studying network activity vs asset prices; volatility and risk comparison between crypto and traditional assets,Global (crypto markets),Since inception of each cryptocurrency (e.g. Bitcoin from 2009),Continuous (real-time API; updates daily/intraday),"API access (JSON), CSV downloads",CoinMetrics (crypto data provider),(N/A),3
CoinGecko,https://www.coingecko.com/,Asset Pricing (Crypto),"Provides a free API and web platform for cryptocurrency market data, including prices, trading volume, rankings, and exchange data for thousands of crypto assets. Similar to CoinMetrics, it offers insight into cryptocurrency market trends[4].",Tracking cryptoasset performance; comparing price movements across exchanges; research on crypto market efficiency,Global (crypto markets),Since 2013 (covers lifecycle of many cryptocurrencies),Continuous (real-time pricing updates),API access (REST/JSON) and web interface,CoinGecko (crypto data aggregator),(N/A),4
Fixer (Exchange Rates),https://fixer.io/,Asset Pricing (FX),An API-based service providing current and historical foreign exchange rates for numerous currency pairs. Enables currency conversion and analysis of FX rate movements[5].,Examining exchange rate dynamics; testing Covered Interest Parity; impact of macro events on FX rates,Global (major currencies worldwide),~2000s–present (historical rates available; exact start varies by currency),Daily (intraday for current rates),API (JSON) and JSON/CSV downloads,Fixer.io (financial data provider),(N/A),5
Pacific Exchange Rate Service,https://fx.sauder.ubc.ca/,Asset Pricing (FX),"Hosted by UBC Sauder, provides historical exchange rates data (daily, monthly) for a wide range of currencies. Useful for long-term FX studies and currency conversions[5].",Historical exchange rate analysis; testing international parity conditions; impact of crises on currency values,Global (extensive currency list),~1970s–present (depending on currency),Daily (updated regularly with new exchange rate data),Web interface (tables) and CSV downloads,University of British Columbia (Sauder) – Pacific Exchange Rate Service (Werner Antweiler),Werner Antweiler (site maintainer),6
Global Factor Data (JKP),https://jkpfactors.com/,Asset Pricing,"Provides global factor portfolio returns and stock characteristics across 93 countries, based on Jensen, Kelly & Pedersen (2023)[6][7]. Supports research on international factor investing and replication of asset pricing studies.",Cross-country factor comparisons; testing asset pricing models globally; examining economic condition effects on factor returns[8],Global (93 countries),~1990–present (covers decades of data per country),Periodic (static dataset with occasional academic updates),CSV downloads (plus code and docs; some data via WRDS),Yale University & Copenhagen (AQR authors),"Bryan Kelly, Turney Duff Jens [Check Correction] Jensen, Bryan Kelly, Lasse Pedersen (2023) [JKP]",7
Global Financial Dataset (Google Sheet),(Google Spreadsheet link),Asset Pricing / Macro,"A public Google Sheet consolidating various financial data: equity index prices, macroeconomic indicators, industry metrics, etc., into a single resource[9][10]. Serves as a convenient one-stop dataset for broad financial analysis.",Preliminary data exploration for thesis topics; quick access to multi-category financial data; teaching tool for data analysis,Global,Mixed (various series with their own historical ranges),Updated irregularly (as contributors add data),Google Sheets (online spreadsheet),Compiled by Mark Dijkstra (VU Amsterdam) (?),"Mark Dijkstra (compiler, 2023)",8
Kenneth French’s Factor Data Library,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Asset Pricing,"Collection of asset pricing factor datasets (e.g. Fama-French 3/5 factors: size, value, momentum, profitability, investment, etc.) for U.S. and global markets. A cornerstone resource for empirical finance research[11], widely used for testing asset pricing models and portfolio analysis.",Evaluating factor model performance (e.g. FF3 vs FF5); constructing custom factors; analyzing risk premia over time,Global (US and select international markets),1926–present (for US factors; shorter for some international),Updated monthly (new factor returns added),CSV data files (web download); also via library websites,Dartmouth College (Tuck) – Ken French’s Library,Kenneth R. French,9
Open Source Asset Pricing,https://www.openassetpricing.com/,Asset Pricing,"Platform offering datasets and replication code for asset pricing research, including test asset returns and predictive signals replicated from academic literature[12]. Aims to increase transparency and reproducibility in financial economics.",Replicating published asset pricing studies; validating new factors; educational use for learning asset pricing techniques,Global (primarily U.S. market focus for many datasets),Varies (historical data as per original studies),Irregular (updated when new studies/data are added),CSV datasets + code (GitHub) available,Open Source Asset Pricing community (led by academics),(N/A),10
